Word,Frequency,Updated_Frequency_ft,Similar_Words_ft
price,853,1264,"pricey, overprice, pricing, pricy, overpriced, apricot, pricier, prize, unreasonable, costly, wise, serice, primary, suffice, justice, thrice, privacy, affordable, reasonably, dice, rabbit, exhibit"
awesome,845,954,"aww, aweome, awsome, awsm, awexome, ekrabul, wholesome, bs, abs, joyous, fab, pradhan, gorgeous, thankful, testy, jahangiri"
take,803,1470,"stake, mistake, asks, warn, warki, ware, ho, respond, carve, ruin, attire, response, cancel, caser, speak, behalf, carefully, feedback, accept, suppose, kiosk, hell, scare, warm, managment, speaker, manav, responsible, careful, attitude"
rice,786,1669,"pice, richado, noodles, curd, richness, rich, slice, curdy, meaty, oily, curly, raw, ribs, steal, hurry, miriyala, ramyum, sacrifice, peices, cooked, steamy, sized, raagi, masalam, rao, pices, salty, undercooked, steamed, royyala, rajugari, salami, goshtmasala, cum, double, rasmalai, maggi, mixed, uncooked, masalas, nook, risens, flawless, kaddu"
overall,770,886,"overallrating, overdue, overtly, overhyped, overrated, overwhelmed, overlook, overly, coverage, overdose, overwhelming, over, overrate, overpower, several, overcrowded"
friend,755,793,"unfriendly, frio, suvendu"
drink,733,1245,"drinks, drinking, drinker, colddrink, link, drip, drive, cock, liit, cocktails, alcohol, drunk, sonu, drought, driven, utensils, liquid, draught, moctails, mocktail, selective, lime, brought, limit, mock, cor, detail, select, lit, drool"
item,731,831,"suffer, pc, optimum, buffer, buff, buffalo, unlimited, varied, none, em, availble, unavailable"
recommend,718,858,"recommended, recommending, recommendable, recommendation, recomended, recognize, record, commendable, comment, commercial"
menu,715,1186,"menus, meny, optional, men, variation, avail, limited, caption, exception, description, redemption, variant, decision, opt, enuf, availability, excitement, widespread, precaution, complimentary, carte, phenomenon, tradition, perception, notion, edition, ventilation, misconception, optimistic, complementary, exceptional, imitation, conventional, deduction, question, impression, compliment, fermentation, motion, solution"
paneer,714,1730,"panneer, pane, panjim, rotis, patiala, palak, patiyala, roties, pandu, palau, panda, buttery, utter, buttermilk, panko, pannier, pakwaan, paan, butte, papri, kulcha, mutter, tikha, poori, papdi, papu, utterly, butt, pankaj, parotha, pan, pao, pal, kulchas, gaulloti, lababdar, papadi, paav, kotha, makhanwala, patthar, pakoda, rotti, tadka, kulche, bhutte, palm, papaya, pai, papad, bhurji, marsala, achari, pav, paisa, tikki, pakode, aaloo, pakwan, jeera, pak, hara, panini, lababdaar, makhni, kha, kuttu, pax, patna, khari, bhara, parotas, pander, pavan, gala, pata, pappu, pathar, kothimeera, prantha, kadai, laccha"
tasty,708,718,"grey, deliciously, yammy"
buffet,687,809,"brunch, luncheon, drunch, venue, opted, munch, forte"
quantity,686,754,"identity, sufficient, sufficiently, royalty"
much,671,1144,"wok, needless, lesson, improvise, unexpectedly, endless, impress, slowly, speechless, otherwise, goodness, needs, mannerless, improved, tax, excess, avg, improves, worthless, thorough, improvement, slot, unless, nonetheless, speed, express, understandable, standard"
say,669,1180,"wana, eager, shock, tire, downer, cant, cane, fond, cashier, folk, shout, store, calvados, send, rather, mother, wallet, relieve, backup, nd, someone"
amaze,659,687,"humus, sumptuous, craze, synonymous"
delicious,646,1151,"delicacy, delicacies, yumm, yu, yummm, yumy, tummy, kamal, psychedelic, uramaki, yuk, melodious, delish, delightfully, kunal, delicately, flavorful, flavourful, mughlai, rabina, scrumptious, musalam, delighted, pranika, muda, flavorsome, flavoursome, kumud, mussalam, sum, natural, jal, favor, lichi, kusal, santosh, succulent, subzi, peruvian, subandhu, natu, jamaican, nissan, bhelpuri, kulfis, kafuli, mouthful, mexican, amritsari, favour, delhi"
ambiance,641,658,"importance, elegance, independence, musical"
fry,616,1343,"fryums, risotto, garnished, rib, fr, textured, rip, flavored, flavoured, savory, chip, saucy, chilla, french, sauf, savoury, frog, steaky, chopped, salads, chopstick, garlicky, grape, chokka, kimchi, sab, meeta, shred, chopsuey, sandip, frappe, steak, salsa, metta, schezwan, sahi, chum, vodka, tolichowki, broccoli, flavorism, saut, flavouring, dilli, sai, churn, verry, bala, miloni, sabz, haka, samoli, pina, ki, savour, choka, chunk, pepsi, chur, stuffed"
main,605,1005,"mains, mainland, mainly, maine, jain, zain, mail, gain, maida, mai, maintain, hain, remain, rain, grain, vain, ajwain, maintained, hussain, drain, max, pain, brain, plain, train, mac, stain, certain, mava, remains, tin, maas, explain, manoj, ajwaini, maans, email, map, margin, alauddin, marg"
spicy,596,902,"spicyness, spicier, spiciness, spilled, tangy, marinated, pei, spirit, flat, flaw, marinate, dumpling, softness, marinade, balanced, smash, juiciness, flag, tenderness, lipstick, smoked, majestic, levy, thickness, andhra, sticky, mayonise, mashed, stuffing"
lunch,584,665,"launch, bunch, punch, inner, lump, winner, nowadays, dinning, lukmi"
course,572,711,"ofcourse, ourself, coarse, court, courtyard, falvours, courtious, horse, couch, courtesy, coupon, cough, encourage, converse, copy, cod, couldnot, cousin"
friendly,566,573,"freindly, corteous"
hyderabad,560,934,"hydrabad, hyderabadfoodexplorer, hyd, hyderbad, hybd, wheninhyderbad, hydrabadi, hy, whenatgachibowli, gacchibowli, gachhibowli, authenticate, gachiwali, far, cibo, authenticity, gochibowli, au, gachiwoli, hyperlocal, rabadi, hindi, popular, machine, hype, gazar, banjara, pune, cityscape, dhaba"
look,558,872,"joint, eating, neat, loosing, lookout, fancy, uneasy, theatrics, sitting, loot, neatly, scene, sln, relook, hiw, prior, priority, loss, compact, integrity, opportunity"
people,555,1204,"feb, difficulty, nearly, grow, facebook, difficult, wd, empty, plz, queue, underground, platinum, bind, activity, diversity, clear, distance, argue, operate, nearer, plant, crowded, inconvenient, cleanliness, accurate, accessible, crowdy, nearby, bivison, bcoz, artifact, accentuate, generate, walkable, biodiversity, responsibility, placement, luck, pronounce, unbearable, locatable, invisible, ps, upset, situated, efficiently, privilege, neglect, flow, negotiate, nearbuy, due, avoidable, private, surround, display, university, bt, sponsor, resort, reliable"
eat,551,984,"eats, pull, eaten, dug, ease, eatfit, ghar, reheat, female, boneless, dull, wholewheat, looked, boil, piecec, ghouse, earn, foil, throat, exactly, thrown, boti, rum, useless, koma, rd, shahghouse, rumali, baharat, basmati, korma, usa, douse, spoilt, aromatic, bow"
music,543,1859,"lively, loud, decor, lightning, hollywood, playing, viroopa, screening, ipl, vibe, outdoors, lighting, bollywood, pool, lighten, soothe, cozy, liquor, roof, hanging, screen, living, screw, groovy, sunlight, spacious, played, seafood, setup, seating, wedding, dancefloor, groom, electric, vibes, environment, song, mood, vendor, ceramic, electronic, beauty, video, comfortably, escort, outrageous, sport, tv"
pizza,535,1010,"pizzas, pastas, gyoza, cheesy, past, cheesey, olio, pasteries, nachos, alfredo, topping, pita, crust, passing, wrapping, bruschetta, pyaza, nacho, pas, pastery, crush, drizzle, chilling, pastrie, cheer, crisp, brewed, blowing, crushed, sausages"
fish,534,781,"grief, dragon, souvlaki, lawn, babycorn, babycorns, appetizing, baby, muesli, martini, mash, kailash, prakash, coriander, greek, saab"
table,525,1150,"relatable, uneatable, suitable, respectable, eatable, unforgettable, forgettable, able, stair, uncomfortable, unpalatable, reservation, constantly, taught, remarkable, cleaned, ensemble, statement, seater, apoorva, doable, approachable, arrival, inspite, self, nibble, thereafter, sep, concern, dude, enter, observation, disposable, occupy, seated, conditioner, altogether, comfortable, together, seek, ashok, december, entered, sec, unclean, restart, jupiter, sensex, seclude, confusion, sex, embarrass, knowledgeable"
lot,521,560,"lots, offense, varities"
little,520,816,"littis, rough, litti, kettle, settle, habit, tough, slightly, sigh, althought, bitterness, print, lightly, extensive, painting, proportion, battle, cosmic, lil, dough, cosy, rightly, brightly, thigh, bicycle, seasoned, pouch, coordinating, cosmo, produce, considerable"
zomato,514,756,"zomoto, zoomato, komatose, rehmat, accepts, ups, irresponsible, eatresponsible, pleased, reluctant, revise, relief, square, instruct, reject, recived, buck, told, instant, fuck, yellow, deceive, network, hollow, redeem, replace, tuck, renowned"
money,513,585,"valueformoney, monkey, honey, monk"
worth,510,565,"worthy, worthwhile, valid, define, aalu"
cake,502,1915,"cupcake, shakeel, shakes, milkshake, cupcakes, bakes, donuts, chocolates, chocolatey, caramel, thickshake, walnut, pancake, ksbakers, chocolaty, toffee, hazelnut, choco, walnuts, biscuit, choclate, cheesecake, cajun, hochn, chocolava, caramelize, baker, baked, ferrero, tiramisu, blueberry, velvet, dounuts, dounut, brown, nut, blue, biscuits, bike, bagel, ie, shak, osm, creme, hut, creamstone, cary, thickshakes, capuccino, caf, hoch, hike, doughnut, ca, brulee, fondue, cup, credit, cappuccino, croissant, crew, icreams, doughnuts, chocochip, crack, fee, buy, berry, gun, pancakes, kitkat, shakil, icecreams, crest, carry, kg, cranberry, caesar, waffle, safe"
variety,498,900,"varun, vary, various, safety, range, wide, desearts, choices, wid, espresso, desserts, vade, desi, vareity, tym, ordinary, affection, cereal"
decent,494,670,"decently, scent, descent, quiet, dec, preferable, adjacent, resonable, comparable, impressive, decoration, central, comparing, orient"
definitely,492,657,"definite, definetly, definately, defines, surely, leisurely, thoroughly, roughly, truely, purely"
want,490,1109,"anybody, anymore, pleasure, anyways, neways, aback, forward, ensure, retro, anywhere, everywhere, ananya, everybody, furthermore, nyt, anmol, heck, hire, reflect, war, knew, update, folks, hop, hostel, restro, refine, somedays, towards, anthony, therefore, newly, redundant, akshay, heard, toward, beyond, annoy, post, irony, ans, ankit, unhappy, celebrating, membership"
never,490,875,"whenever, whatever, whichever, wrost, recieve, kfc, doner, revert, disgust, wrong, wrongly, silver, life, thirst, severe, discover, fo, tomorrow"
cream,485,1212,"icecream, dream, scream, creamy, creaminess, stream, icecrm, create, jam, jamun, iced, jamuns, vanilla, gulabjamun, fruity, cram, icici, freaks, freak, gulabjamoon, creative, freakin, sugary, raspberry, guava, gulab, coconut, syrup, scoop, kiwi, cut, cry, jalepeno, creation, strawberry, bro, frown, yamuna, chocovala, sugar"
thing,485,587,"thinking, soothing, thin, jhinga, thia, third, glimpse"
could,484,571,"couldnt, coz, count, coating, co"
less,480,1002,"bless, eggless, clueless, obsess, hopeless, mess, insufficient, stewardess, lesser, fitness, ness, title, consistency, hardly, edible, axis, madness, unlocked, used, tingle, consistent, single, noticed, market, complains, unable, tad, complaint, left, depress, curated, complained, complaints, notice, spoiled, rainbow, incredible, cleaness, witness, seed, neatness, dress, tale"
first,480,522,"firm, firstly, fir, ek, nxt, utmost, wanton"
option,480,778,"election, competition, junction, collection, selection, conjunction, segregation, function, application, potion, vacation, station, pdr, nation, diet, destination, addition, desirable, hesitation, condition, inclusion, action, caution, attraction, invitation, duration, demarcation, dedication, compensation, venus"
ask,480,716,"asked, spoon, whether, upon, consumer, slather, walked, shower, within, lead, leaf, smother, homeminister"
though,468,576,"thought, costlier, oven, mostly, blessing"
dinner,468,468,None
quite,464,498,"quit, quirky, suite, ty, quote, petty, lite"
enjoy,463,616,"nilak, plenty, spending, sunny, sun, pending, abdul, nite, lol, dining, tremendous"
soup,457,801,"sour, corriander, soul, source, adorn, cornflour, soba, softer, draw, mashroom, fix, sofa, lush, drag, soya, sourness, soak, sourdough, copper, soda, crispyness, fifa, soyabean, corner, dried, fi, lemony, master, lko, kingfisher, sweeter, spinach, salmon, mule, corona"
ice,455,533,juice
excellent,451,688,"speciality, rahul, repellent, thankfully, prabhu, suraj, kudos, thankyou, thanku, thanx, specialy, appreciate, narendra, superlative, specialize, esp, ashraful, hasubul, appreciated, prashant, specialty"
dessert,450,572,"deserves, jalebi, desk, vessel, deaf, meet, destroy, gulaab, kulfi"
bit,450,450,None
day,449,598,"lay, fb, saturdays, lady, tray, celebrate, nightmare, slay"
customer,441,646,"respect, customize, behave, customizations, unprofessional, provider, executive, pleasent, respectful, behaves, profit, hostess, guyz, customisation, aspect, worker, guys, irrespective"
non,440,480,"noon, nonsense, gon"
special,440,500,"specialise, specify, specific, specail, jovial, specifically, rajasthan, abhishek, jahan, bhuvnesh"
need,439,632,"provided, prove, approx, helpless, patient, understood, profile, providing, protein, impulse, pros, untrained, im, impact, compromise, pro, protect, neel, accord, stood, excessive, extreme, gratitude, competitive, extraordinary"
curry,439,654,"curt, misal, meetha, padthai, jwalamukhi, alaska, sabzi, masam, kheer, chapala, raitha, sabji, pahadi, phulka, cuz, macaroni, sale, cube, alam, currant, mary"
delivery,436,695,"delivers, deliverd, delivered, delivering, delivary, wasvery, package, swiggy, packet, packing, parcel, olives"
sauce,427,1096,"pot, blah, lettuce, crumb, saute, crispness, ring, filling, chipotle, slimy, tom, freshly, coat, pinacolda, flaky, slippery, basil, sabza, coocked, savor, layered, jerk, chunky, white, blaze, cookie, willy, peppermint, pesto, pip, crash, sausage, basa, flesh, sahu, texture, smokey, cornflakes, sahil, pinacolada, spring, smoothy, cooky, pineapple"
burger,425,804,"hamburger, burp, burj, burfi, burji, burn, momo, bun, wild, mom, buns, burst, crap, wich, zinger, hunger, lychee, toast, penne, blast, pipe, pie, boast, sand, gastrohogger"
find,425,933,"across, sincere, hall, clothes, ultimate, loose, unfortunate, nowhere, disconnect, confine, final, immediate, found, large, replicate, sensible, yall, diarrhea, possible, distort, ear, avoid, fortunate, fit, sink, report, dissapoint, cloth, invited, gather, upscale, disappear, closing, discuss, mindset, mine"
cheese,421,796,"chkn, chepa, burmese, chops, cheif, chew, chopsey, chewy, pasand, chop, brocolli, pinacoladas, chow, choupsey, chestnut, cherry, chettinadu, pasanda, chese, chosen, omelette, chola, chokha, chettinad, chestnuts, chowcha, sava, batata, coast, aata, samosa, om, omlettes, chatpata, chamborlette, pannacotta, choley, mozzarella, saag, breast"
night,420,865,"weeknight, nightlife, fortnight, midnight, tonight, tight, height, eight, weight, dwight, thght, fight, ground, opening, sight, background, playlist, watch, croud, young, wee, catch, ought, boozy, wear, round, ol, straight, vip, hub, crazy, glitch, enlighten, dutch, mismatch, football, batch, bright, alright, lazy, dancer, flight"
ever,419,444,honest
perfect,417,591,"perfection, perk, delight, period, jus, ooze, uniquely"
average,414,478,"beverage, savera, beverages, expecting, grease"
gachibowli,407,1071,"local, allocate, suffocate, pub, dlf, audacity, terminus, indicate, vibrant, lobby, year, opposite, lo, indiranagar, routine, log, branch, situ, rancid, locality, situate, pubs, vikrant, kondapur, hitech, educate, building, lousy, indira, lock, bear"
ok,398,412,"exceed, expected"
chocolate,394,534,"velvety, jaggery, banana, oreo, osmania, crockery, browine, frankie, freebie, nutella"
sweet,391,1037,"sweets, sweettooth, sweeth, sweetness, tweet, broth, cola, colada, apple, mojito, peanut, milk, mojitos, jalape, heavenly, coloured, tooth, coco, smoothie, colored, ola, lemonade, merry, freshness, omlette, applies, black, peanuts, smooth, milky, croquette, chowmein, jalapeno, dip, flax, sprinkle"
feel,391,570,"feeling, hit, bikers, fud, effort, bikes, highway, factor, unit, track, housing, heel, fair"
tikka,384,668,"malai, lahori, kesari, lahsooni, teeka, ab, hariyali, kaushik, nahi, lahsuni, kofta, kalmi, kai, kalbi, kabiraji, nai, rogan, ti, kali, kadhai, khao, kachori, lasooni, yakhni"
butter,382,433,"achaari, bukhara, nargisi, chatter, moti, maska, peer, lacha"
hot,379,681,"hota, thot, soggy, whip, smelt, toe, sakil, pass, pickup, tomoto, blame, toh, pick, shot, tired, refresh, kick, dog, sause, lemongrass, ketchup, pin, originally, smeets, miyo"
cook,379,813,"salt, stick, grass, filled, pickle, rottened, smelly, tickle, toss, mayo, slip, oat, mayonnaise, rigid, stingy, stir, medium, ed, filthy"
mutton,376,516,"lehsooni, mutabak, gongura, khaju, bhendi, ghosh, ghosht, kura, khichadi, wonton, haryali, maruti, ton, khaansaab, keem, keema, makkhani, fulka"
noodle,371,406,"noddle, idle, meddle, cuddle, schezuan, versed, greed, stench, thefoodpotato, stew, meanwhile, grave"
family,370,409,"zamir, nizam, splendid, nizami, visually, narendar"
indian,369,1325,"indianised, indianized, asian, indi, indigril, imran, individual, northern, northeastern, russian, sicilian, bhindi, continental, european, arabian, typical, goan, italian, dial, an, span, individually, norfest, south, northeast, urban, indra, hunan, ranjan, korean, kiran, digital, dan, southern, divine, dhal, romjan, oriental, jan, dhabas, karan, toofan, gal, eastern, tibetan, punctual, darsaan, khaan, chineese, skeptical, indo, belgian, indigrill, pavilion, iqbal, kundan, notorious, plan, norm, combine, ramjan, kurchan, bindi, mongolian, punjab, ramzan, al, mediterranean, florentine, gadwal, western"
amazing,367,444,"zing, sub, beautifully, ous, pudding, windy"
always,366,487,"host, aways, anniversary, shantanu, awasome, shivam"
many,364,394,"decided, radisson"
pretty,361,501,"cricket, blood, setting, seasonal, scenario, fatty, seasoning, libby, ample, aunty, prism, offering, comfort"
everything,358,358,None
different,354,440,"differentiate, diffenitly, preffered, difference, werent, coherent, singaporean, wipe, novel, disastrous, die, signal"
seat,349,1019,"door, sector, poolside, sexy, spark, sear, outset, sea, air, indoors, aside, arrangement, interact, arena, interms, error, elevator, seldom, upside, theor, beside, outskirts, lounge, sittin, entrance, flock, sporty, barbar, conveyor, seal, vintage, arranged, hide, roadside, sev, honor, array, abide, arrange, interaction, projector, interactive, spar, proof, idea, motor, out, search, arun, internal, center, outing"
piece,348,599,"aroma, bibimbap, burnt, boiled, maggie, ons, packed, bokum, konaseema, um, bonel, rid, jump, upma, lacked, spill, pachadi, jungle, booked"
guy,348,703,"guru, shank, mrp, gud, boy, warmth, hello, sleep, run, fact, employee, delay, suck, shankar, shuvro, homemade, hostile, speaks, uh, warmly, survive, fume, sue"
wait,344,344,None
kebab,342,422,"galauti, murtabak, sikendari, sikampuri, galaouti, gosht, teppan, tapan"
know,338,608,"share, aware, atleast, thr, forkandspoonstoryhyd, rest, exact, nellore, shoe, shell, admire, km, ignore, thunderstorm, thru"
every,337,337,None
crowd,337,434,"overcrowd, crow, guidance, bounce, advance, pound, traffic, energy, iiit, humid, cleaning, decorate"
team,336,345,"iam, scam, foam"
star,335,454,"starbucks, static, iftar, cleanly, others, approximately, appropriately, impossible, coperative, understanding, preservative, operative"
small,330,687,"mall, usp, bull, consider, downside, row, pear, rouge, outrightly, feat, oorugallu, park, separate, season, pen, fall"
keep,329,425,"speedy, sudhir, project, support, active, rudely, attend"
prawn,326,326,None
big,322,662,"build, roommate, bid, doctor, bounty, ccd, pirate, booze, clock, ikea, vote, strict, thousand, generosity, capacity, swear, bustle, parking, elevate, eclair, opp, cross, bistro, bio, urge, class, mighty, classy, wall, hear"
top,322,908,"drop, classic, craft, smoky, topic, pop, glaze, citrus, root, smoke, beetroot, cramp, toy, whop, tool, belgium, beggar, freeze, belt, belonging, bee, cripsy, breezy, blog, breeze, bang, room, lift, lie, blossom, brew, craving, brewery, pillar, citroen, slight, shopping, breath, yo, frame, crabs, moong, pint, breathe"
masala,317,380,"makki, matka, marag, paani, kadhi, rara, puri"
fresh,316,404,"freshener, blazin, fro, brush, ginger, frm, mesh, frozen"
two,315,868,"bon, boston, minimum, mask, minimal, refill, mins, lem, stupid, three, incomplete, reunion, aluminum, uncle, scale, minced, rule, mislead, stomach, bothered, occur, fin, khow, mid, purpose, hardcore, mini, udon, note, audible, bookmarked, insisted, spoiler, thrill, legs, eater, ale, tackle, yell, region, occupied, register, struggle, maybe, cumin, stole, rider, inedible"
back,314,574,"blond, foreign, adore, cast, beforehand, kf, body, frustrate, hand, girl, mysore, husband, calculate, shack, deny, calmly, bogo, somebody"
flavour,312,396,"flavours, danish, phirni, granola, jambalaya, crab, kat, flabbergast, judwa, tooo, osum, fluffy"
way,312,321,"isb, boys"
thanks,312,450,"ks, kyn, zega, john, surendra, rank, hv, job, occasionally, thay, sublime"
expect,311,505,"expertise, unexpected, expense, ex, unsatisfied, dissatisfied, expand, satisfied, discpointed, dissapointed, dissappointed, rat, expressed, expiry, worried, appoint, satisfactory, ratio, dissatisfy, steward"
review,311,371,"receptionist, ia, instagram"
corn,306,379,"popper, ravioli, margarita, gappe, wrapper, sattu, enchilada, palang"
think,304,361,"elsewhere, explorer, advise, dose, cause"
start,304,324,"spray, carton, dishearten, manpower, tail, laughter"
